School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,High School,435,Hillsboro High,335,37215,,,,,,,,,1,,,312,311,294,258,1,38,596,63,1,477,574,602,323,165,33,36.1070656078,-86.8122291617,"(36.1070656078, -86.8122291617)"
17-18,Elementary School,340,Glenn Elementary,260,37207,,2,35,30,24,31,30,,,,,,,,,1,,136,6,,9,74,78,130,23,11,36.1866924205,-86.7663288011,"(36.1866924205, -86.7663288011)"
17-18,Middle School,434,H.G. Hill Middle School,295,37205,,,,,,,,178,171,156,146,,,,,2,49,190,128,,282,337,314,273,111,148,36.1163756827,-86.8667300076,"(36.1163756827, -86.8667300076)"
17-18,Middle School,275,Dupont-Tyler Middle,185,37076,,,,,,,,146,153,154,150,,,,,1,20,271,125,3,183,325,278,306,88,113,36.1996225114,-86.6125957599,"(36.1996225114, -86.6125957599)"
17-18,Elementary School,775,Westmeade Elementary,695,37205,,1,83,90,79,73,90,,,,,,,,,1,19,96,77,2,221,210,206,120,56,62,36.0919967834,-86.8941366526,"(36.0919967834, -86.8941366526)"
17-18,Elementary School,315,Gateway Elementary,235,37115,2,,40,46,62,63,56,,,,,,,,,1,6,104,104,1,53,131,138,140,30,85,36.2922088797,-86.7106601795,"(36.2922088797, -86.7106601795)"
17-18,Elementary School,405,Haywood Elementary,310,37211,1,52,137,110,131,128,116,,,,,,,,,,113,73,419,,70,365,310,407,54,438,36.074169073,-86.708069174,"(36.074169073, -86.708069174)"
17-18,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,131,128,236,243,242,240,2,123,532,77,2,484,580,640,142,20,16,36.1616756426,-86.8004738094,"(36.1616756426, -86.8004738094)"
17-18,Elementary School,145,Norman Binkley Elementary,525,37211,4,34,102,106,114,92,102,,,,,,,,,,42,65,281,1,165,269,285,310,56,302,36.076976208,-86.7484948034,"(36.076976208, -86.7484948034)"
17-18,Charter,499,KIPP Academy Nashville Elementary,8095,37206,,,97,104,93,108,,,,,,,,,,1,5,378,6,,12,193,209,343,50,10,36.1674762595,-86.7519101749,"(36.1674762595, -86.7519101749)"
17-18,Elementary School,465,Joelton Elementary,380,37080,2,18,50,51,52,40,48,,,,,,,,,,1,36,22,,202,127,134,104,46,7,36.315679553,-86.8680398063,"(36.315679553, -86.8680398063)"
17-18,Middle School,410,Head Middle,315,37203,,,,,,,1,160,173,114,119,,,,,,42,338,33,,154,287,280,142,38,38,36.1586049933,-86.8044055117,"(36.1586049933, -86.8044055117)"
